Website,URL
pesacheck.org,https://pesacheck.org/faux-la-tour-eiffel-na-pas-pris-feu-en-janvier-2024-a31fdbf7b023?source=---------3-----------------------
pesacheck.org,https://pesacheck.org/faux-cette-image-ne-montre-pas-le-pr%C3%A9sident-congolais-tshisekedi-embarquant-pour-litalie-en-2024-80fa003a4730?source=---------9-----------------------
stopintox.cm,https://stopintox.cm/2021/01/20/oui-la-dgsn-a-rendu-publics-des-numeros-whatsapp-pour-suivre-la-production-de-sa-cni/
stopintox.cm,https://stopintox.cm/2021/05/27/cameroun-le-bepc-2021-aura-bien-lieu-du-14-au-18-juin/
stopintox.cm,https://stopintox.cm/2019/07/04/oui-le-chocolat-mambo-est-un-produit-made-in-cameroun-meme-si-lentreprise-qui-le-produit-est-a-capitaux-etrangers/
stopintox.cm,https://stopintox.cm/2024/06/10/non-la-video-dans-laquelle-on-voit-samuel-etoo-avoir-un-entretien-avec-le-ministre-narcisse-mouelle-kombi-na-pas-ete-tournee-lors-du-match-cameroun-contre-le-cap-vert/
stopintox.cm,https://stopintox.cm/2024/04/26/annie-payep-nlepe-il-faut-adopter-une-loi-qui-oblige-les-detenteurs-du-pouvoir-public-a-repondre-aux-journalistes/
stopintox.cm,https://stopintox.cm/2024/04/18/non-cole-palmer-na-pas-les-origines-camerounaises/
stopintox.cm,https://stopintox.cm/gestion-des-corrections/
organicfarming.org.uk,http://organicfarming.org.uk/high-yield-seeds/
tafnied.com,https://tafnied.com/%d8%af%d8%b1%d9%88%d8%a8-%d8%a7%d9%84%d8%b8%d9%84%d8%a7%d9%85-%d8%ae%d9%81%d8%a7%d9%8a%d8%a7-%d8%a7%d9%84%d9%87%d8%ac%d8%b1%d8%a9-%d8%ba%d9%8a%d8%b1-%d8%a7%d9%84%d8%b4%d8%b1%d8%b9%d9%8a%d8%a9/
medium.com,https://medium.com/@tbobwoge/ghana-will-always-be-a-county-that-sells-africans-to-the-west-936e17faf5a5?source=topic_portal---recommended_stories---burkina_faso---6-84--------------------a67dc025_9731_4a56_a1eb_d8353f4434ea-------
medium.com,https://medium.com/@tbobwoge/catholic-racists-saint-davids-church-willow-grove-immigrants-bring-diseases-are-dirty-04d01db9ade8?source=topic_portal---recommended_stories---burkina_faso---2-84--------------------a67dc025_9731_4a56_a1eb_d8353f4434ea-------
medium.com,https://medium.com/@tigerrifkinwittyobserver/the-young-lion-who-roared-against-french-colonialism-in-africa-a5c5f448e788?source=topic_portal---recommended_stories---burkina_faso---0-84--------------------a67dc025_9731_4a56_a1eb_d8353f4434ea-------
medium.com,https://medium.com/disinfo-africa/burkina-faso-pro-russian-campaigns-leading-up-to-the-coup-940b229849f2?source=topic_portal---recommended_stories---burkina_faso---7-85--------------------a67dc025_9731_4a56_a1eb_d8353f4434ea-------
medium.com,https://medium.com/usaid-2030/community-catalysts-for-change-a004363c7ab9?source=topic_portal---recommended_stories---burkina_faso---3-85--------------------a67dc025_9731_4a56_a1eb_d8353f4434ea-------
medium.com,https://medium.com/@sbmintel/safe-haven-7b894d49d868?source=topic_portal---recommended_stories---burkina_faso---4-84--------------------a67dc025_9731_4a56_a1eb_d8353f4434ea-------
medium.com,https://medium.com/@dwomowale/what-the-aes-means-for-africa-1d7680f8444f?source=topic_portal---recommended_stories---burkina_faso---5-85--------------------a67dc025_9731_4a56_a1eb_d8353f4434ea-------
www.konbini.com,https://www.konbini.com/popculture/cest-quoi-cette-video-de-la-tour-eiffel-en-feu-qui-tourne-sur-les-reseaux-sociaux/
medium.com,https://medium.com/jobs-at-medium/work-at-medium-959d1a85284e?source=post_page-----a31fdbf7b023--------------------------------
