URL,Status
https://pesacheck.org/our-methodology-f3d77521a1ee,Article
https://medium.com/about?autoplay=1&source=post_page-----f3d77521a1ee--------------------------------,To Be Validated
https://pesacheck.org/maadeysi-sawirkan-muujinaya-raiisul-wasaaraha-itoobiya-abiy-axmed-iyo-donald-trump-oo-haya-7aaf7fef2989?source=post_page---post_publication_info--f3d77521a1ee--------------------------------,To Be Validated
https://speechify.com/medium?source=post_page-----f3d77521a1ee--------------------------------,To Be Validated
https://investigate.africa/ilab-reports/,To Be Validated
https://rsci.app.link/?%24canonical_url=https%3A%2F%2Fmedium.com%2Fp%2Ff3d77521a1ee&%7Efeature=LoOpenInAppButton&%7Echannel=ShowPostUnderCollection&source=---top_nav_layout_nav----------------------------------,To Be Validated
https://twitter.com/hashtag/PesaCheck?src=hash,To Be Validated
https://docs.google.com/forms/d/1TBOZ3o0cauIHIl-rQStrenTvx0OWmw0RicOgxnzd7CI/edit,To Be Validated
https://twitter.com/PesaCheck,To Be Validated
https://africandrone.org/,To Be Validated
https://www.buzzfeed.com/emmyf/buzzfeed-style-guide?utm_term=.ih0pb7e3j#.sbqzBYpOk,To Be Validated
https://pesacheck.org/uhurus-maternity-care-promises-exaggerated-2c238a3dfd9b#.8ct,To Be Validated
https://pesacheck.org/will-kenyas-olympic-champs-get-a-ksh1-billion-bonus-216c42809da7#.i5gaygorc,To Be Validated
https://www.africandefence.net,To Be Validated
https://medium.com/m/signin?operation=register&redirect=https%3A%2F%2Fmedium.com%2Fnew-story&source=---top_nav_layout_nav-----------------------new_post_topnav-----------,To Be Validated
https://help.medium.com/hc/en-us?source=post_page-----f3d77521a1ee--------------------------------,To Be Validated
mailto:hello@pesacheck.org,To Be Validated
http://checkmedia.org,To Be Validated
https://medium.com/@PesaCheck/following?source=post_page---post_author_info--f3d77521a1ee--------------------------------,To Be Validated
https://t.co/385A4LbHhl,To Be Validated
https://www.crowdtangle.com/,To Be Validated
https://medium.com/m/signin?actionUrl=https%3A%2F%2Fmedium.com%2F_%2Fvote%2Fpesa-check%2Ff3d77521a1ee&operation=register&redirect=https%3A%2F%2Fpesacheck.org%2Four-methodology-f3d77521a1ee&user=PesaCheck&userId=c75918c2df6e&source=---footer_actions--f3d77521a1ee---------------------clap_footer-----------,To Be Validated
https://pesacheck.org/about,To Be Validated
https://medium.com/business?source=post_page-----f3d77521a1ee--------------------------------,To Be Validated
https://medium.com/jobs-at-medium/work-at-medium-959d1a85284e?source=post_page-----f3d77521a1ee--------------------------------,To Be Validated
https://medium.com/m/signin?actionUrl=https%3A%2F%2Fmedium.com%2F_%2Fbookmark%2Fp%2Ff3d77521a1ee&operation=register&redirect=https%3A%2F%2Fpesacheck.org%2Four-methodology-f3d77521a1ee&source=---header_actions--f3d77521a1ee---------------------bookmark_footer-----------,To Be Validated
https://pesacheck.org/?source=post_page---post_publication_info--f3d77521a1ee--------------------------------,To Be Validated
https://www.meltwater.com/en,To Be Validated
https://pesacheck.org/followers?source=post_page---post_publication_info--f3d77521a1ee--------------------------------,To Be Validated
https://africacheck.org,To Be Validated
https://primer.ai/,To Be Validated
https://medium.com/tag/fact-checking?source=post_page-----f3d77521a1ee--------------------------------,To Be Validated
https://twitter.com/Kandie_Phyllis,To Be Validated
https://sourceafrica.net/,To Be Validated
https://policy.medium.com/medium-rules-30e5502c4eb4?source=post_page---post_responses--f3d77521a1ee--------------------------------,To Be Validated
https://policy.medium.com/medium-terms-of-service-9db0094a1e0f?source=post_page-----f3d77521a1ee--------------------------------,To Be Validated
https://medium.com/search?source=---top_nav_layout_nav----------------------------------,To Be Validated
https://medium.com/tag/pesacheck?source=post_page-----f3d77521a1ee--------------------------------,To Be Validated
https://medium.com/@PesaCheck?source=post_page---post_author_info--f3d77521a1ee--------------------------------,To Be Validated
https://pesacheck.org/?source=post_page---byline--f3d77521a1ee--------------------------------,To Be Validated
https://blog.medium.com/?source=post_page-----f3d77521a1ee--------------------------------,To Be Validated
https://medium.com/?source=---top_nav_layout_nav----------------------------------,To Be Validated
https://medium.com/m/signin?operation=login&redirect=https%3A%2F%2Fpesacheck.org%2Four-methodology-f3d77521a1ee&source=post_page---top_nav_layout_nav-----------------------global_nav-----------,To Be Validated
https://medium.com/m/signin?actionUrl=https%3A%2F%2Fmedium.com%2F_%2Fsubscribe%2Fuser%2Fc75918c2df6e&operation=register&redirect=https%3A%2F%2Fpesacheck.org%2Four-methodology-f3d77521a1ee&user=PesaCheck&userId=c75918c2df6e&source=post_page-c75918c2df6e--byline--f3d77521a1ee---------------------post_header-----------,To Be Validated
https://policy.medium.com/medium-privacy-policy-f03bf92035c9?source=post_page-----f3d77521a1ee--------------------------------,To Be Validated
https://t.co/zAxs6pdIKB,To Be Validated
https://medium.com/m/signin?operation=register&redirect=https%3A%2F%2Fpesacheck.org%2Four-methodology-f3d77521a1ee&source=post_page---top_nav_layout_nav-----------------------global_nav-----------,To Be Validated
https://disinfo.africa/,To Be Validated
https://medium.com/m/signin?actionUrl=https%3A%2F%2Fmedium.com%2F_%2Fbookmark%2Fp%2Ff3d77521a1ee&operation=register&redirect=https%3A%2F%2Fpesacheck.org%2Four-methodology-f3d77521a1ee&source=---footer_actions--f3d77521a1ee---------------------bookmark_footer-----------,To Be Validated
https://medium.com/@PesaCheck/followers?source=post_page---post_author_info--f3d77521a1ee--------------------------------,To Be Validated
https://medium.com/m/signin?actionUrl=https%3A%2F%2Fmedium.com%2F_%2Fsubscribe%2Fcollection%2Fpesa-check&operation=register&redirect=https%3A%2F%2Fpesacheck.org%2Four-methodology-f3d77521a1ee&collection=PesaCheck&collectionId=ab41f21aa9a9&source=post_page---post_publication_info--f3d77521a1ee---------------------follow_profile-----------,To Be Validated
https://www.washingtonpost.com/news/ask-the-post/wp/2017/01/01/policies-and-standards/?utm_term=.a1699c0eb0a7#correctionspolicy,To Be Validated
https://medium.statuspage.io/?source=post_page-----f3d77521a1ee--------------------------------,To Be Validated
https://medium.com/m/signin?actionUrl=https%3A%2F%2Fmedium.com%2F_%2Fvote%2Fpesa-check%2Ff3d77521a1ee&operation=register&redirect=https%3A%2F%2Fpesacheck.org%2Four-methodology-f3d77521a1ee&user=PesaCheck&userId=c75918c2df6e&source=---header_actions--f3d77521a1ee---------------------clap_footer-----------,To Be Validated
https://medium.com/@PesaCheck?source=post_page---byline--f3d77521a1ee--------------------------------,To Be Validated
https://pesacheck.org/contact-us-3ba3730bf068,To Be Validated
https://medium.com/m/signin?actionUrl=https%3A%2F%2Fmedium.com%2F_%2Fsubscribe%2Fuser%2Fc75918c2df6e&operation=register&redirect=https%3A%2F%2Fpesacheck.org%2Four-methodology-f3d77521a1ee&user=PesaCheck&userId=c75918c2df6e&source=post_page-c75918c2df6e--post_author_info--f3d77521a1ee---------------------follow_profile-----------,To Be Validated
https://factcheck.africa/,To Be Validated
