Row,Fact Check Number,Fact Check Text
1,1,Australian Associated Press
2,1,Tempo.co
3,1,Estadão
4,1,Australian Associated Press
5,1,ตรวจสอบข้อเท็จจริง
6,1,Science Feedback
7,1,BOL - UOL
8,1,Samayam Telugu
9,1,Demagog
10,1,Ellinika Hoaxes
11,1,AFP Fact Check
12,1,Semakan Fakta
13,1,Tempo.co
14,1,AFP Fact Check
15,1,Snopes.com
16,1,Greece Fact Check
17,1,Efecto Cocuyo
18,1,Snopes
19,1,Estadão
20,1,The Quint
21,1,Ellinika Hoaxes
22,1,فکت‌نامه
23,1,Ellinika Hoaxes
24,1,Press Trust of India
25,1,BOL - UOL
26,1,Science Feedback
27,1,EFE Verifica
28,1,Вистиномер
29,1,Science Feedback
30,1,Logically Facts
31,1,Estadão
32,1,dpa-factchecking
33,1,Factchequeado.com
34,1,THIP Media
35,1,Rappler
36,1,AFP Fact Check
37,1,Lead Stories
38,1,Check Your Fact
39,1,Ellinika Hoaxes
40,1,Samayam Malayalam
41,1,Faktograf
42,1,Tempo.co
43,1,Australian Associated Press
44,1,Maharashtra Times - Indiatimes
45,1,Observador
46,1,Amar Ujala
47,1,पीटीआई
48,1,Telugu Post
49,1,Вистиномер
50,1,Factico
51,1,Estadão
52,1,日本ファクトチェックセンター (JFC)
53,1,Demagog
54,1,THIP Media
55,1,Demagog
56,1,PolitiFact
57,1,Science Feedback
58,1,Demagog
59,1,فکت‌نامه
60,1,Demagog
61,1,FACTLY
62,1,Du-Check
63,1,Ellinika Hoaxes
64,1,ελληνικό Fact Check
65,1,Ellinika Hoaxes
66,1,AFP Checamos
67,1,Estadão
68,1,Factico
69,1,Bufale.net
70,1,Bufale.net
71,1,EFE Verifica
72,1,Provera činjenica
73,1,Вистиномер
74,1,Lead Stories
75,1,Fast Check 🔍
76,1,AFP Fact Check
77,1,Science Feedback
78,1,Estadão
79,1,Australian Associated Press
80,1,THIP Media
81,1,THIP Media
82,1,AFP Checamos
83,1,Tempo.co
84,1,Demagog
85,1,Demagog
86,1,USA Today
87,1,Estadão
88,1,Bufale.net
89,1,Demagog
90,1,Tempo.co
91,1,PolitiFact
92,1,USA Today
93,1,THIP Media
94,1,Logically Facts
95,1,Demagog
96,1,Lead Stories
97,1,Fast Check 🔍
98,1,Вистиномер
99,1,Ellinika Hoaxes
100,1,Provjera činjenica
