Row,Fact Check Number,Fact Check Text
1,1,Snopes
2,1,AFP Factual
3,1,Lead Stories
4,1,Franceinfo
5,1,Snopes
6,1,Lead Stories
7,1,Logically Facts
8,1,UOL Notícias
9,1,Lead Stories
10,1,BOL - UOL
11,1,Lead Stories
12,1,Factchequeado.com
13,1,Check Your Fact
14,1,Estadão
15,1,Check Your Fact
16,1,Demagog
17,1,NewsMobile
18,1,Greece Fact Check
19,1,Maldita.es
20,1,Check Your Fact
21,1,Lead Stories
22,1,Voz de América
23,1,Snopes
24,1,Bufale.net
25,1,The Journal
26,1,Tjekdet
27,1,Fact Crescendo Assamese
28,1,The Journal
29,1,dpa-factchecking
30,1,dpa-factchecking
31,1,Telugu Post
32,1,Lead Stories
33,1,dpa-factchecking
34,1,THIP Media
35,1,Check Your Fact
36,1,PolitiFact
37,1,BOL - UOL
38,1,Snopes
39,1,Ténykérdés
40,1,YouTurn
41,1,DigitEye India
42,1,Newschecker
43,1,Estadão
44,1,manoramaonline.com
45,1,Navbharat Times - Indiatimes
46,1,Bolivia Verifica
47,1,dpa-factchecking
48,1,USA Today
49,1,Samayam Telugu
50,1,Check Your Fact
51,1,The Journal
52,1,Newsweek
53,1,FACTLY
54,1,USA Today
55,1,USA Today
56,1,USA Today
57,1,Observador
58,1,Newsweek
59,1,Observador
60,1,팩트체크
61,1,Observador
62,1,Lead Stories
63,1,Australian Associated Press
64,1,Lead Stories
65,1,TF1 Info
66,1,Observador
67,1,AFP Fact Check
68,1,Samayam Tamil
69,1,Snopes
70,1,Observador
71,1,Observador
72,1,Lead Stories
73,1,Observador
74,1,USA Today
75,1,Lead Stories
76,1,Lead Stories
77,1,Lead Stories
78,1,Fact Crescendo Sri Lanka
79,1,USA Today
80,1,Samayam Telugu
81,1,Samayam Telugu
82,1,Lead Stories
83,1,Logically Facts
84,1,Snopes
85,1,Snopes
86,1,Telugu Post
87,1,Vijaya Karnataka
88,1,Demagog
89,1,Quint Hindi
90,1,Lead Stories
91,1,Samayam Tamil
92,1,Esakal
93,1,Snopes
94,1,Snopes
95,1,Amar Ujala
96,1,Lupa - UOL
97,1,Logically Facts
98,1,20 Minutes
99,1,Logically Facts
100,1,BOL - UOL
101,1,Samayam Telugu
